CODIGO_DANE_MUNICIPIO;DESC_MUNICIPIO;DESC_DEPARTAMENTO;ZONA
54109;BUCARASICA;NORTE DE SANTANDER;RURAL DISPERSO
76109;BUENAVENTURA;VALLE DEL CAUCA;URBANO
15109;BUENAVISTA;BOYACÁ;RURAL
23079;BUENAVISTA;CÓRDOBA;RURAL
63111;BUENAVISTA;QUINDIO;URBANO
70110;BUENAVISTA;SUCRE;URBANO
19110;BUENOS AIRES;CAUCA;RURAL
52110;BUESACO;NARIÑO;RURAL DISPERSO
76113;BUGALAGRANDE;VALLE DEL CAUCA;RURAL
5113;BURITICÁ;ANTIOQUIA;RURAL DISPERSO
15114;BUSBANZÁ;BOYACÁ;RURAL
25120;CABRERA;CUNDINAMARCA;RURAL DISPERSO
50124;CABUYARO;META;RURAL DISPERSO
94886;CACAHUAL;GUAINÍA;RURAL DISPERSO
5120;CÁCERES;ANTIOQUIA;RURAL DISPERSO
25123;CACHIPAY;CUNDINAMARCA;URBANO
54128;CÁCHIRA;NORTE DE SANTANDER;RURAL DISPERSO
54125;CÁCOTA;NORTE DE SANTANDER;RURAL DISPERSO
5125;CAICEDO;ANTIOQUIA;RURAL DISPERSO
76122;CAICEDONIA;VALLE DEL CAUCA;URBANO
70124;CAIMITO;SUCRE;RURAL DISPERSO
73124;CAJAMARCA;TOLIMA;RURAL
19130;CAJIBÍO;CAUCA;RURAL
25126;CAJICÁ;CUNDINAMARCA;URBANO
13140;CALAMAR;BOLÍVAR;URBANO
95015;CALAMAR;GUAVIARE;RURAL DISPERSO
63130;CALARCÁ;QUINDIO;URBANO
5129;CALDAS;ANTIOQUIA;URBANO
15131;CALDAS;BOYACÁ;RURAL DISPERSO
19137;CALDONO;CAUCA;RURAL
76001;CALI;VALLE DEL CAUCA;URBANO
68132;CALIFORNIA;SANTANDER;RURAL
76126;CALIMA;VALLE DEL CAUCA;RURAL
19142;CALOTO;CAUCA;RURAL
5134;CAMPAMENTO;ANTIOQUIA;RURAL
8137;CAMPO DE LA CRUZ;ATLÁNTICO;URBANO
41132;CAMPOALEGRE;HUILA;URBANO
15135;CAMPOHERMOSO;BOYACÁ;RURAL DISPERSO
23090;CANALETE;CÓRDOBA;RURAL
8141;CANDELARIA;ATLÁNTICO;URBANO
76130;CANDELARIA;VALLE DEL CAUCA;URBANO
13160;CANTAGALLO;BOLÍVAR;RURAL
5138;CAÑASGORDAS;ANTIOQUIA;RURAL
25148;CAPARRAPÍ;CUNDINAMARCA;RURAL DISPERSO
68147;CAPITANEJO;SANTANDER;URBANO
25151;CÁQUEZA;CUNDINAMARCA;URBANO
5142;CARACOLÍ;ANTIOQUIA;RURAL
5145;CARAMANTA;ANTIOQUIA;URBANO
68152;CARCASÍ;SANTANDER;RURAL DISPERSO
5147;CAREPA;ANTIOQUIA;URBANO
73148;CARMEN DE APICALÁ;TOLIMA;RURAL
25154;CARMEN DE CARUPA;CUNDINAMARCA;RURAL DISPERSO
27150;CARMEN DEL DARIÉN;CHOCÓ;RURAL DISPERSO
5150;CAROLINA;ANTIOQUIA;RURAL
13001;CARTAGENA DE INDIAS;BOLÍVAR;URBANO
18150;CARTAGENA DEL CHAIRÁ;CAQUETÁ;RURAL DISPERSO
76147;CARTAGO;VALLE DEL CAUCA;URBANO
97161;CARURÚ;VAUPÉS;RURAL DISPERSO
73152;CASABIANCA;TOLIMA;RURAL
50150;CASTILLA LA NUEVA;META;RURAL
5154;CAUCASIA;ANTIOQUIA;URBANO
23162;CERETÉ;CÓRDOBA;URBANO
15162;CERINZA;BOYACÁ;URBANO
68162;CERRITO;SANTANDER;RURAL
47161;CERRO DE SAN ANTONIO;MAGDALENA;RURAL
27160;CÉRTEGUI;CHOCÓ;RURAL
52240;CHACHAGÜÍ;NARIÑO;URBANO
25168;CHAGUANÍ;CUNDINAMARCA;RURAL DISPERSO
70230;CHALÁN;SUCRE;URBANO
85015;CHÁMEZA;CASANARE;RURAL DISPERSO
73168;CHAPARRAL;TOLIMA;URBANO
68167;CHARALÁ;SANTANDER;RURAL
68169;CHARTA;SANTANDER;RURAL DISPERSO
25175;CHÍA;CUNDINAMARCA;URBANO
5172;CHIGORODÓ;ANTIOQUIA;URBANO
68176;CHIMA;SANTANDER;RURAL DISPERSO
23168;CHIMÁ;CÓRDOBA;RURAL DISPERSO
20175;CHIMICHAGUA;CESAR;RURAL
54172;CHINÁCOTA;NORTE DE SANTANDER;URBANO
15172;CHINAVITA;BOYACÁ;RURAL
17174;CHINCHINÁ;CALDAS;URBANO
23182;CHINÚ;CÓRDOBA;URBANO
25178;CHIPAQUE;CUNDINAMARCA;RURAL
15176;CHIQUINQUIRÁ;BOYACÁ;URBANO
15232;CHÍQUIZA;BOYACÁ;RURAL DISPERSO
20178;CHIRIGUANÁ;CESAR;RURAL
15180;CHISCAS;BOYACÁ;RURAL DISPERSO
15183;CHITA;BOYACÁ;RURAL DISPERSO
54174;CHITAGÁ;NORTE DE SANTANDER;RURAL DISPERSO
15185;CHITARAQUE;BOYACÁ;RURAL DISPERSO
15187;CHIVATÁ;BOYACÁ;URBANO
47170;CHIVOLO;MAGDALENA;RURAL
15236;CHIVOR;BOYACÁ;RURAL DISPERSO
25181;CHOACHÍ;CUNDINAMARCA;URBANO
25183;CHOCONTÁ;CUNDINAMARCA;URBANO
13188;CICUCO;BOLÍVAR;URBANO
47189;CIÉNAGA;MAGDALENA;URBANO
23189;CIÉNAGA DE ORO;CÓRDOBA;URBANO
68190;CIMITARRA;SANTANDER;RURAL
63190;CIRCASIA;QUINDIO;URBANO
5190;CISNEROS;ANTIOQUIA;URBANO
5101;CIUDAD BOLÍVAR;ANTIOQUIA;URBANO
13222;CLEMENCIA;BOLÍVAR;URBANO
5197;COCORNÁ;ANTIOQUIA;RURAL
73200;COELLO;TOLIMA;RURAL DISPERSO
25200;COGUA;CUNDINAMARCA;URBANO
41206;COLOMBIA;HUILA;RURAL DISPERSO
52203;COLÓN;NARIÑO;URBANO
86219;COLÓN;PUTUMAYO;URBANO
70204;COLOSÓ;SUCRE;RURAL
15204;CÓMBITA;BOYACÁ;RURAL
5206;CONCEPCIÓN;ANTIOQUIA;RURAL
68207;CONCEPCIÓN;SANTANDER;RURAL
5209;CONCORDIA;ANTIOQUIA;URBANO
47205;CONCORDIA;MAGDALENA;URBANO
27205;CONDOTO;CHOCÓ;RURAL
68209;CONFINES;SANTANDER;RURAL DISPERSO
52207;CONSACÁ;NARIÑO;RURAL
52210;CONTADERO;NARIÑO;URBANO
68211;CONTRATACIÓN;SANTANDER;RURAL
54206;CONVENCIÓN;NORTE DE SANTANDER;RURAL
5212;COPACABANA;ANTIOQUIA;URBANO
15212;COPER;BOYACÁ;RURAL DISPERSO
13212;CÓRDOBA;BOLÍVAR;RURAL DISPERSO
52215;CÓRDOBA;NARIÑO;RURAL DISPERSO
63212;CÓRDOBA;QUINDIO;URBANO
19212;CORINTO;CAUCA;URBANO
68217;COROMORO;SANTANDER;RURAL DISPERSO
70215;COROZAL;SUCRE;URBANO
15215;CORRALES;BOYACÁ;RURAL
25214;COTA;CUNDINAMARCA;URBANO
23300;COTORRA;CÓRDOBA;URBANO
15218;COVARACHÍA;BOYACÁ;RURAL DISPERSO
70221;COVEÑAS;SUCRE;URBANO
73217;COYAIMA;TOLIMA;RURAL DISPERSO
81220;CRAVO NORTE;ARAUCA;RURAL DISPERSO
52224;CUASPÚD;NARIÑO;URBANO
15223;CUBARÁ;BOYACÁ;RURAL DISPERSO
50223;CUBARRAL;META;RURAL DISPERSO
15224;CUCAITA;BOYACÁ;URBANO
25224;CUCUNUBÁ;CUNDINAMARCA;RURAL
54001;CÚCUTA;NORTE DE SANTANDER;URBANO
54223;CUCUTILLA;NORTE DE SANTANDER;RURAL DISPERSO
15226;CUÍTIVA;BOYACÁ;RURAL DISPERSO
50226;CUMARAL;META;RURAL
99773;CUMARIBO;VICHADA;RURAL DISPERSO
52227;CUMBAL;NARIÑO;RURAL DISPERSO
52233;CUMBITARA;NARIÑO;RURAL DISPERSO
73226;CUNDAY;TOLIMA;RURAL DISPERSO
18205;CURILLO;CAQUETÁ;RURAL
68229;CURITÍ;SANTANDER;RURAL
20228;CURUMANÍ;CESAR;RURAL
5234;DABEIBA;ANTIOQUIA;RURAL
76233;DAGUA;VALLE DEL CAUCA;RURAL DISPERSO
44090;DIBULLA;LA GUAJIRA;RURAL DISPERSO
44098;DISTRACCIÓN;LA GUAJIRA;URBANO
73236;DOLORES;TOLIMA;RURAL
5237;DONMATÍAS;ANTIOQUIA;URBANO
66170;DOSQUEBRADAS;RISARALDA;URBANO
15238;DUITAMA;BOYACÁ;URBANO
54239;DURANIA;NORTE DE SANTANDER;RURAL
5240;EBÉJICO;ANTIOQUIA;RURAL
76243;EL ÁGUILA;VALLE DEL CAUCA;RURAL DISPERSO
5250;EL BAGRE;ANTIOQUIA;URBANO
47245;EL BANCO;MAGDALENA;URBANO
76246;EL CAIRO;VALLE DEL CAUCA;RURAL DISPERSO
50245;EL CALVARIO;META;RURAL DISPERSO
27135;EL CANTÓN DEL SAN PABLO;CHOCÓ;RURAL
54245;EL CARMEN;NORTE DE SANTANDER;RURAL DISPERSO
27245;EL CARMEN DE ATRATO;CHOCÓ;RURAL
13244;EL CARMEN DE BOLÍVAR;BOLÍVAR;URBANO
68235;EL CARMEN DE CHUCURÍ;SANTANDER;RURAL DISPERSO
5148;EL CARMEN DE VIBORAL;ANTIOQUIA;URBANO
50251;EL CASTILLO;META;RURAL
76248;EL CERRITO;VALLE DEL CAUCA;URBANO
52250;EL CHARCO;NARIÑO;RURAL DISPERSO
15244;EL COCUY;BOYACÁ;RURAL
25245;EL COLEGIO;CUNDINAMARCA;URBANO
20238;EL COPEY;CESAR;RURAL
18247;EL DONCELLO;CAQUETÁ;RURAL
50270;EL DORADO;META;RURAL
76250;EL DOVIO;VALLE DEL CAUCA;RURAL
91263;EL ENCANTO;AMAZONAS;RURAL DISPERSO
15248;EL ESPINO;BOYACÁ;URBANO
68245;EL GUACAMAYO;SANTANDER;RURAL DISPERSO
13248;EL GUAMO;BOLÍVAR;RURAL
27250;EL LITORAL DEL SAN JUAN;CHOCÓ;RURAL DISPERSO
44110;EL MOLINO;LA GUAJIRA;RURAL
20250;EL PASO;CESAR;RURAL DISPERSO
18256;EL PAUJÍL;CAQUETÁ;RURAL
52254;EL PEÑOL;NARIÑO;RURAL
13268;EL PEÑÓN;BOLÍVAR;RURAL
25258;EL PEÑÓN;CUNDINAMARCA;RURAL DISPERSO
68250;EL PEÑÓN;SANTANDER;RURAL DISPERSO
47258;EL PIÑÓN;MAGDALENA;RURAL
68255;EL PLAYÓN;SANTANDER;RURAL
47268;EL RETÉN;MAGDALENA;URBANO
95025;EL RETORNO;GUAVIARE;RURAL DISPERSO
70233;EL ROBLE;SUCRE;URBANO
25260;EL ROSAL;CUNDINAMARCA;URBANO
52256;EL ROSARIO;NARIÑO;RURAL
5697;EL SANTUARIO;ANTIOQUIA;URBANO
52258;EL TABLÓN DE GÓMEZ;NARIÑO;RURAL
19256;EL TAMBO;CAUCA;RURAL DISPERSO
52260;EL TAMBO;NARIÑO;RURAL
54250;EL TARRA;NORTE DE SANTANDER;RURAL
54261;EL ZULIA;NORTE DE SANTANDER;RURAL
41244;ELÍAS;HUILA;RURAL
68264;ENCINO;SANTANDER;RURAL DISPERSO
68266;ENCISO;SANTANDER;RURAL DISPERSO
5264;ENTRERRÍOS;ANTIOQUIA;RURAL
5266;ENVIGADO;ANTIOQUIA;URBANO
73268;ESPINAL;TOLIMA;URBANO
25269;FACATATIVÁ;CUNDINAMARCA;URBANO
73270;FALAN;TOLIMA;RURAL DISPERSO
17272;FILADELFIA;CALDAS;URBANO
63272;FILANDIA;QUINDIO;URBANO
15272;FIRAVITOBA;BOYACÁ;URBANO
73275;FLANDES;TOLIMA;URBANO
18001;FLORENCIA;CAQUETÁ;URBANO
19290;FLORENCIA;CAUCA;URBANO
15276;FLORESTA;BOYACÁ;RURAL
68271;FLORIÁN;SANTANDER;RURAL DISPERSO
76275;FLORIDA;VALLE DEL CAUCA;URBANO
68276;FLORIDABLANCA;SANTANDER;URBANO
25279;FÓMEQUE;CUNDINAMARCA;RURAL
44279;FONSECA;LA GUAJIRA;URBANO
81300;FORTUL;ARAUCA;RURAL
25281;FOSCA;CUNDINAMARCA;RURAL
52520;FRANCISCO PIZARRO;NARIÑO;RURAL
5282;FREDONIA;ANTIOQUIA;URBANO
73283;FRESNO;TOLIMA;URBANO
5284;FRONTINO;ANTIOQUIA;RURAL
50287;FUENTE DE ORO;META;RURAL
47288;FUNDACIÓN;MAGDALENA;URBANO
